County,GEO_ID,Ratio Int Travelers,"Known Unvax per 100,000",Population Density,Latitude,Longitude,Risk Level
ONTARIO,0500000US36069,377.65968387962914,8649.556661200211,167.57650565932272,-77.29505955555554,42.82807772222222,2
ORANGE,0500000US36071,1354.513987992177,9892.287286119317,459.3046606463058,-74.33565057142856,41.4112939047619,2
ORLEANS,0500000US36073,2467.0096085492473,8620.213138073359,109.60231048407707,-78.21971511764707,43.30092741176471,0
OSWEGO,0500000US36075,241.95722087420185,8674.81512419232,128.31293017390848,-76.22331943478261,43.41873376086956,1
OTSEGO,0500000US36077,77.43515411853699,8716.29643906905,62.15333932315065,-75.00942504545455,42.692903,2
PUTNAM,0500000US36079,7368.951972413914,9471.322836225052,432.93821371195344,-73.63531840909091,41.437041545454534,1
QUEENS,0500000US36081,856.783808600468,8186.478234401237,20553.966645167235,-73.8754525625,40.716936984375,2
RENSSELAER,0500000US36083,250.19952761696317,8824.722603792283,244.36184724798062,-73.51387040909094,42.75674690909091,2
RICHMOND,0500000US36085,4082.6795384191705,8184.59454270049,8030.32379647079,-74.16893402083333,40.5693983125,2
ROCKLAND,0500000US36087,6132.574756707923,13253.37630379195,1795.9492941515412,-73.98817766666667,41.12815042857143,3
SARATOGA,0500000US36091,181.76128089860873,9001.25132623277,271.1264475666066,-73.80224522727272,42.96444509090909,1
SCHENECTADY,0500000US36093,256.4300249419906,8661.259508683035,756.5372579698807,-74.06532555555555,42.80321611111111,2
SCHOHARIE,0500000US36095,1217.8113488692522,9157.210907203274,52.66636647261265,-74.41633426666667,42.591768,0
SCHUYLER,0500000US36097,394.594325435978,8095.720438314342,55.86757225961685,-76.83967427272727,42.383831,0
SENECA,0500000US36099,1438.5961512196236,9905.531757964312,108.89685212072534,-76.8155125,42.768632083333344,0
ST. LAWRENCE,0500000US36089,10.536794446830411,8995.164546558994,41.764227460285476,-75.14372393939394,44.70351281818182,0
STEUBEN,0500000US36101,97.69719346605464,8650.072734619658,71.18714762397883,-77.28078406249998,42.2386720625,2
SUFFOLK,0500000US36103,883.7713445272545,9349.441992834903,1637.3554081464831,-72.6516603117647,40.965959323529404,2
SULLIVAN,0500000US36105,97.64885868075821,9484.886584909798,80.09977998822474,-74.86977396,41.6458596,1
TIOGA,0500000US36107,143.91408914078076,9231.215647921761,98.58272271500192,-76.27680894999997,42.13909970000001,0
TOMPKINS,0500000US36109,255.43345734755383,10158.363199558897,213.97661434741386,-76.47203221428572,42.391879357142855,2
ULSTER,0500000US36111,81.810002420316,10526.380189925092,162.3256600014232,-74.12042932,41.83001132,2
WARREN,0500000US36113,477.2062800530849,8531.646552117734,75.79099140665551,-73.79495633333333,43.58958074999999,2
WASHINGTON,0500000US36115,449.1520154151005,8695.010756770438,76.05572800115499,-73.37080219444445,43.51082802777778,0
WAYNE,0500000US36117,506.8350176162567,8494.21895661818,155.29536458937116,-77.03415922857144,43.24084242857143,1
WESTCHESTER,0500000US36119,2013.366521214692,9135.321716170782,2204.6759581881533,-73.73681947916667,41.0406100625,2
WYOMING,0500000US36121,2455.160159976584,8519.696358676314,71.11767186840996,-78.2203703,42.613238,2
YATES,0500000US36123,1503.417577929799,12769.571563831467,74.96303306322825,-77.12135327272728,42.62103418181818,0
